ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,54.86,1.33,70,53.53
AL-003,Baldwin County,Alabama,52.77,-9.12,25,61.89
AL-005,Barbour County,Alabama,51.75,-0.53,53,52.28
AL-007,Bibb County,Alabama,45.48,-9.76,20,55.24
AL-009,Blount County,Alabama,44.83,-10.77,12,55.6
AL-011,Bullock County,Alabama,55.51,3.45,85,52.06
AL-013,Butler County,Alabama,54.41,-1.27,54,55.68
AL-015,Calhoun County,Alabama,45.76,-7.62,26,53.38
AL-017,Chambers County,Alabama,52.47,-0.84,54,53.31
AL-019,Cherokee County,Alabama,45.57,-8,23,53.57
AL-021,Chilton County,Alabama,49.9,-4.33,38,54.23
AL-023,Choctaw County,Alabama,52.18,-4.67,44,56.85
AL-025,Clarke County,Alabama,54.9,-3.01,49,57.91
AL-027,Clay County,Alabama,53.94,-1.89,52,55.83
AL-029,Cleburne County,Alabama,49.24,-4.69,41,53.93
AL-031,Coffee County,Alabama,58.97,2.8,86,56.17
AL-033,Colbert County,Alabama,44.22,-9.35,20,53.57
AL-035,Conecuh County,Alabama,51.91,-6.09,38,58
AL-037,Coosa County,Alabama,56.2,1.55,68,54.65
AL-039,Covington County,Alabama,54.05,-4.57,42,58.62
AL-041,Crenshaw County,Alabama,57.18,1.85,75,55.33
AL-043,Cullman County,Alabama,46.28,-9.84,13,56.12
AL-045,Dale County,Alabama,54.06,-0.32,62,54.38
AL-047,Dallas County,Alabama,50.34,-2.48,49,52.82
AL-049,DeKalb County,Alabama,46.73,-8.76,19,55.49
AL-051,Elmore County,Alabama,59.06,5.6,97,53.46
AL-053,Escambia County,Alabama,47.09,-13.34,12,60.43
AL-055,Etowah County,Alabama,42.47,-11.99,10,54.46
AL-057,Fayette County,Alabama,48.54,-7.73,28,56.27
AL-059,Franklin County,Alabama,45.75,-8.96,19,54.71
AL-061,Geneva County,Alabama,59.04,1.85,72,57.19
AL-063,Greene County,Alabama,48.03,-4.93,34,52.96
AL-065,Hale County,Alabama,48,-5.75,31,53.75
AL-067,Henry County,Alabama,50.68,-2.65,51,53.33
AL-069,Houston County,Alabama,55.25,1.11,67,54.14
AL-071,Jackson County,Alabama,48.06,-6.69,25,54.75
AL-073,Jefferson County,Alabama,42.89,-12.68,10,55.57
AL-075,Lamar County,Alabama,46.66,-8.29,25,54.95
AL-077,Lauderdale County,Alabama,44,-10.01,18,54.01
AL-079,Lawrence County,Alabama,46.39,-7.04,24,53.43
AL-081,Lee County,Alabama,54.39,2.11,75,52.28
AL-083,Limestone County,Alabama,49.17,-4.57,35,53.74
AL-085,Lowndes County,Alabama,55.45,3.1,83,52.35
AL-087,Macon County,Alabama,56.23,4.52,90,51.71
AL-089,Madison County,Alabama,49.41,-4.96,32,54.37
AL-091,Marengo County,Alabama,46.06,-8.13,28,54.19
AL-093,Marion County,Alabama,48.54,-7.06,26,55.6
AL-095,Marshall County,Alabama,43.57,-10.85,12,54.42
AL-097,Mobile County,Alabama,59.04,-3.45,51,62.49
AL-099,Monroe County,Alabama,51.14,-6.11,41,57.25
AL-101,Montgomery County,Alabama,60.22,8.11,108,52.11
AL-103,Morgan County,Alabama,47.63,-6.35,26,53.98
AL-105,Perry County,Alabama,46.55,-7.07,26,53.62
AL-107,Pickens County,Alabama,45.15,-8.24,23,53.39
AL-109,Pike County,Alabama,57.32,2.97,82,54.35
AL-111,Randolph County,Alabama,52.03,-2.64,43,54.67
AL-113,Russell County,Alabama,49.27,-0.58,55,49.85
AL-115,St. Clair County,Alabama,45.06,-10.09,14,55.15
AL-117,Shelby County,Alabama,45.7,-9.22,19,54.92
AL-119,Sumter County,Alabama,45.92,-8.18,27,54.1
AL-121,Talladega County,Alabama,48.94,-4.79,40,53.73
AL-123,Tallapoosa County,Alabama,57.78,3.55,82,54.23
AL-125,Tuscaloosa County,Alabama,45.97,-9.46,19,55.43
AL-127,Walker County,Alabama,45.4,-11.16,14,56.56
AL-129,Washington County,Alabama,57.24,-2.46,55,59.7
AL-131,Wilcox County,Alabama,50.69,-3.58,48,54.27
AL-133,Winston County,Alabama,48.13,-8.31,20,56.44
AZ-001,Apache County,Arizona,13.22,-0.22,71,13.44
AZ-003,Cochise County,Arizona,14.11,-0.49,67,14.6
AZ-005,Coconino County,Arizona,11.13,-2.44,30,13.57
AZ-007,Gila County,Arizona,19.78,-0.92,69,20.7
AZ-009,Graham County,Arizona,14.89,-0.34,71,15.23
AZ-011,Greenlee County,Arizona,16.5,-0.27,67,16.77
AZ-012,La Paz County,Arizona,4.77,-1.19,47,5.96
AZ-013,Maricopa County,Arizona,8.42,-0.82,63,9.24
AZ-015,Mohave County,Arizona,8.27,-2.29,28,10.56
AZ-017,Navajo County,Arizona,10.72,-1.62,44,12.34
AZ-019,Pima County,Arizona,13,0.53,87,12.47
AZ-021,Pinal County,Arizona,12.78,0.28,79,12.5
AZ-023,Santa Cruz County,Arizona,17.7,-0.69,70,18.39
AZ-025,Yavapai County,Arizona,14.28,-1.97,48,16.25
AZ-027,Yuma County,Arizona,5.48,0.61,94,4.87
AR-001,Arkansas County,Arkansas,43.08,-7.93,26,51.01
AR-003,Ashley County,Arkansas,56.16,3.13,86,53.03
AR-005,Baxter County,Arkansas,48.93,5.54,91,43.39
AR-007,Benton County,Arkansas,43.58,-1.73,55,45.31
AR-009,Boone County,Arkansas,41.89,-1.78,48,43.67
AR-011,Bradley County,Arkansas,52.15,0.17,71,51.98
AR-013,Calhoun County,Arkansas,52.61,0.99,68,51.62
AR-015,Carroll County,Arkansas,41.55,-3.13,45,44.68
AR-017,Chicot County,Arkansas,52.56,-0.35,64,52.91
AR-019,Clark County,Arkansas,52.95,1.38,70,51.57
AR-021,Clay County,Arkansas,45.32,-2.47,49,47.79
AR-023,Cleburne County,Arkansas,48.07,-1.93,50,50
AR-025,Cleveland County,Arkansas,47.53,-4.02,50,51.55
AR-027,Columbia County,Arkansas,61.58,10.44,108,51.14
AR-029,Conway County,Arkansas,54.64,5.64,97,49
AR-031,Craighead County,Arkansas,43.11,-5.39,31,48.5
AR-033,Crawford County,Arkansas,52.88,5.19,90,47.69
AR-035,Crittenden County,Arkansas,42.17,-7.8,20,49.97
AR-037,Cross County,Arkansas,43.06,-7.28,27,50.34
AR-039,Dallas County,Arkansas,49.7,-1.59,57,51.29
AR-041,Desha County,Arkansas,48.78,-2.67,59,51.45
AR-043,Drew County,Arkansas,49.6,-2.99,55,52.59
AR-045,Faulkner County,Arkansas,52.33,2.06,79,50.27
AR-047,Franklin County,Arkansas,52.54,4.46,88,48.08
AR-049,Fulton County,Arkansas,47.71,2.48,78,45.23
AR-051,Garland County,Arkansas,48.79,-3.8,49,52.59
AR-053,Grant County,Arkansas,56.32,4.83,87,51.49
AR-055,Greene County,Arkansas,42.24,-5.51,32,47.75
AR-057,Hempstead County,Arkansas,61.05,10.46,108,50.59
AR-059,Hot Spring County,Arkansas,50.85,-1.48,62,52.33
AR-061,Howard County,Arkansas,56.71,4.73,87,51.98
AR-063,Independence County,Arkansas,44.59,-3.75,38,48.34
AR-065,Izard County,Arkansas,49.09,3.37,79,45.72
AR-067,Jackson County,Arkansas,40.91,-7.78,20,48.69
AR-069,Jefferson County,Arkansas,48.59,-2.6,54,51.19
AR-071,Johnson County,Arkansas,52.43,3.01,78,49.42
AR-073,Lafayette County,Arkansas,62.44,12.54,112,49.9
AR-075,Lawrence County,Arkansas,39.57,-7.85,22,47.42
AR-077,Lee County,Arkansas,44.15,-6.92,27,51.07
AR-079,Lincoln County,Arkansas,47.02,-5.19,39,52.21
AR-081,Little River County,Arkansas,61.07,12.39,113,48.68
AR-083,Logan County,Arkansas,49.31,2.5,79,46.81
AR-085,Lonoke County,Arkansas,50.79,0.74,73,50.05
AR-087,Madison County,Arkansas,45.65,-2,52,47.65
AR-089,Marion County,Arkansas,44.43,1.47,69,42.96
AR-091,Miller County,Arkansas,62.13,13.19,113,48.94
AR-093,Mississippi County,Arkansas,45.45,-3.12,47,48.57
AR-095,Monroe County,Arkansas,42.99,-7.56,23,50.55
AR-097,Montgomery County,Arkansas,56.17,3.73,80,52.44
AR-099,Nevada County,Arkansas,58.81,7.7,102,51.11
AR-101,Newton County,Arkansas,42.01,-6.2,30,48.21
AR-103,Ouachita County,Arkansas,53.56,2.19,81,51.37
AR-105,Perry County,Arkansas,51.79,2.83,83,48.96
AR-107,Phillips County,Arkansas,42.79,-8.89,19,51.68
AR-109,Pike County,Arkansas,60.62,7.7,98,52.92
AR-111,Poinsett County,Arkansas,43.37,-5.74,31,49.11
AR-113,Polk County,Arkansas,51.1,-1.7,64,52.8
AR-115,Pope County,Arkansas,51.52,2.16,81,49.36
AR-117,Prairie County,Arkansas,44.78,-5.31,35,50.09
AR-119,Pulaski County,Arkansas,55.14,4.47,92,50.67
AR-121,Randolph County,Arkansas,41.18,-6.02,31,47.2
AR-123,St. Francis County,Arkansas,44.29,-6.58,30,50.87
AR-125,Saline County,Arkansas,55.21,3.08,87,52.13
AR-127,Scott County,Arkansas,50.11,1.76,69,48.35
AR-129,Searcy County,Arkansas,45.83,-0.6,59,46.43
AR-131,Sebastian County,Arkansas,53.85,8.47,103,45.38
AR-133,Sevier County,Arkansas,55.94,5.34,88,50.6
AR-135,Sharp County,Arkansas,46.43,-0.51,59,46.94
AR-137,Stone County,Arkansas,50.04,2.45,75,47.59
AR-139,Union County,Arkansas,59.86,7.66,98,52.2
AR-141,Van Buren County,Arkansas,48.56,-1.96,48,50.52
AR-143,Washington County,Arkansas,46.15,-0.94,59,47.09
AR-145,White County,Arkansas,47.3,-2.89,47,50.19
AR-147,Woodruff County,Arkansas,42.56,-7.33,22,49.89
AR-149,Yell County,Arkansas,46.9,-1.33,57,48.23
CA-001,Alameda County,California,20.45,1.65,85,18.8
CA-003,Alpine County,California,31.85,-4.38,54,36.23
CA-005,Amador County,California,34.6,-0.7,65,35.3
CA-007,Butte County,California,41.43,-3.07,65,44.5
CA-009,Calaveras County,California,33.94,-0.41,66,34.35
CA-011,Colusa County,California,26.47,4.42,94,22.05
CA-013,Contra Costa County,California,18.1,-0.44,69,18.54
CA-015,Del Norte County,California,92.19,12.08,101,80.11
CA-017,El Dorado County,California,40.03,-4.7,56,44.73
CA-019,Fresno County,California,17.39,-2.26,65,19.65
CA-021,Glenn County,California,29.3,3.37,86,25.93
CA-023,Humboldt County,California,77.08,13.58,105,63.5
CA-025,Imperial County,California,3.54,0.16,85,3.38
CA-027,Inyo County,California,6.67,0.41,83,6.26
CA-029,Kern County,California,10.83,1.75,97,9.08
CA-031,Kings County,California,8.78,1.15,97,7.63
CA-033,Lake County,California,50.28,6.72,87,43.56
CA-035,Lassen County,California,18.62,-1.83,64,20.45
CA-037,Los Angeles County,California,20.63,5.02,105,15.61
CA-039,Madera County,California,20.4,-2.78,62,23.18
CA-041,Marin County,California,37.24,1.67,77,35.57
CA-043,Mariposa County,California,31.36,-1.54,66,32.9
CA-045,Mendocino County,California,59.02,7.3,89,51.72
CA-047,Merced County,California,14.56,3.26,106,11.3
CA-049,Modoc County,California,17.3,-0.81,64,18.11
CA-051,Mono County,California,13.49,-2.18,62,15.67
CA-053,Monterey County,California,25.95,5.78,105,20.17
CA-055,Napa County,California,31.07,-0.09,73,31.16
CA-057,Nevada County,California,45.06,-5.41,53,50.47
CA-059,Orange County,California,17.31,3.72,102,13.59
CA-061,Placer County,California,41.64,-4.23,57,45.87
CA-063,Plumas County,California,40.62,-0.71,71,41.33
CA-065,Riverside County,California,8.15,-0.36,72,8.51
CA-067,Sacramento County,California,18.75,0.02,73,18.73
CA-069,San Benito County,California,21.79,4.99,109,16.8
CA-071,San Bernardino County,California,6.63,-0.25,72,6.88
CA-073,San Diego County,California,14.89,0.58,86,14.31
CA-075,San Francisco County,California,26.91,2.54,82,24.37
CA-077,San Joaquin County,California,15.55,1.47,83,14.08
CA-079,San Luis Obispo County,California,21.46,4.24,102,17.22
CA-081,San Mateo County,California,29.55,0.8,77,28.75
CA-083,Santa Barbara County,California,26.86,7.97,113,18.89
CA-085,Santa Clara County,California,28.93,5.75,100,23.18
CA-087,Santa Cruz County,California,37.52,4.37,91,33.15
CA-089,Shasta County,California,42.55,0.55,69,42
CA-091,Sierra County,California,40.4,-5.47,53,45.87
CA-093,Siskiyou County,California,37.05,-1.85,64,38.9
CA-095,Solano County,California,19.21,-0.63,70,19.84
CA-097,Sonoma County,California,46.23,4.1,83,42.13
CA-099,Stanislaus County,California,17.91,4.23,112,13.68
CA-101,Sutter County,California,19.82,0.8,76,19.02
CA-103,Tehama County,California,36.39,-0.2,71,36.59
CA-105,Trinity County,California,63.67,6.07,86,57.6
CA-107,Tulare County,California,19.36,-2.54,64,21.9
CA-109,Tuolumne County,California,36.7,-4.26,58,40.96
CA-111,Ventura County,California,29.14,8.68,113,20.46
CA-113,Yolo County,California,20.39,0.34,73,20.05
CA-115,Yuba County,California,33.03,-4.77,49,37.8
CO-001,Adams County,Colorado,13.75,-1.4,43,15.15
CO-003,Alamosa County,Colorado,14.37,4,122,10.37
CO-005,Arapahoe County,Colorado,14.59,-1.3,44,15.89
CO-007,Archuleta County,Colorado,22.96,-0.42,65,23.38
CO-009,Baca County,Colorado,16.69,0.74,77,15.95
CO-011,Bent County,Colorado,11.42,-2.43,29,13.85
CO-013,Boulder County,Colorado,19.16,-0.9,52,20.06
CO-014,Broomfield County,Colorado,14.29,-0.43,60,14.72
CO-015,Chaffee County,Colorado,21.69,4.08,120,17.61
CO-017,Cheyenne County,Colorado,12.64,-2.7,27,15.34
CO-019,Clear Creek County,Colorado,25.52,-0.49,56,26.01
CO-021,Conejos County,Colorado,22.08,4.86,121,17.22
CO-023,Costilla County,Colorado,19.47,1.89,97,17.58
CO-025,Crowley County,Colorado,12.01,0.04,74,11.97
CO-027,Custer County,Colorado,21.74,1.28,86,20.46
CO-029,Delta County,Colorado,17.08,-0.6,63,17.68
CO-031,Denver County,Colorado,13.6,-1.4,42,15
CO-033,Dolores County,Colorado,20.85,-2.49,46,23.34
CO-035,Douglas County,Colorado,18.28,0.06,69,18.22
CO-037,Eagle County,Colorado,24.86,0.83,85,24.03
CO-039,Elbert County,Colorado,16.66,0.11,70,16.55
CO-041,El Paso County,Colorado,15.74,-0.27,67,16.01
CO-043,Fremont County,Colorado,15.27,0.99,89,14.28
CO-045,Garfield County,Colorado,22.04,-0.47,68,22.51
CO-047,Gilpin County,Colorado,23.02,0.16,68,22.86
CO-049,Grand County,Colorado,22.51,0.15,66,22.36
CO-051,Gunnison County,Colorado,24.21,0.97,76,23.24
CO-053,Hinsdale County,Colorado,32.14,1.24,81,30.9
CO-055,Huerfano County,Colorado,18.95,1.08,81,17.87
CO-057,Jackson County,Colorado,22.99,-0.12,60,23.11
CO-059,Jefferson County,Colorado,17.74,-0.44,60,18.18
CO-061,Kiowa County,Colorado,11.58,-2.62,26,14.2
CO-063,Kit Carson County,Colorado,14.97,-1.83,40,16.8
CO-065,Lake County,Colorado,29.49,5.26,121,24.23
CO-067,La Plata County,Colorado,21.85,-1.56,54,23.41
CO-069,Larimer County,Colorado,18.87,-1.07,46,19.94
CO-071,Las Animas County,Colorado,14.99,-1.26,53,16.25
CO-073,Lincoln County,Colorado,14.39,0.14,69,14.25
CO-075,Logan County,Colorado,16.61,0.01,71,16.6
CO-077,Mesa County,Colorado,15.32,-1.58,52,16.9
CO-079,Mineral County,Colorado,29.66,-0.89,70,30.55
CO-081,Moffat County,Colorado,14.37,-0.48,58,14.85
CO-083,Montezuma County,Colorado,15.64,-1.54,56,17.18
CO-085,Montrose County,Colorado,14.17,-1.34,46,15.51
CO-087,Morgan County,Colorado,13.54,-0.95,52,14.49
CO-089,Otero County,Colorado,11.24,-2.13,35,13.37
CO-091,Ouray County,Colorado,21.72,-0.63,65,22.35
CO-093,Park County,Colorado,18.65,1.28,91,17.37
CO-095,Phillips County,Colorado,18.98,1.09,88,17.89
CO-097,Pitkin County,Colorado,31.19,2.04,87,29.15
CO-099,Prowers County,Colorado,12.93,-2.21,31,15.14
CO-101,Pueblo County,Colorado,15.3,1.75,98,13.55
CO-103,Rio Blanco County,Colorado,19.34,0.49,75,18.85
CO-105,Rio Grande County,Colorado,17.5,2.92,107,14.58
CO-107,Routt County,Colorado,26.02,0.98,78,25.04
CO-109,Saguache County,Colorado,19.31,2.69,113,16.62
CO-111,San Juan County,Colorado,39.22,-2.52,55,41.74
CO-113,San Miguel County,Colorado,17.63,-1.46,47,19.09
CO-115,Sedgwick County,Colorado,18.47,0.41,72,18.06
CO-117,Summit County,Colorado,26.92,0.4,76,26.52
CO-119,Teller County,Colorado,18.37,-0.79,60,19.16
CO-121,Washington County,Colorado,16.84,0.38,77,16.46
CO-123,Weld County,Colorado,11.77,-2.06,29,13.83
CO-125,Yuma County,Colorado,16.68,-0.83,51,17.51
CT-001,Fairfield County,Connecticut,66.33,18.5,128,47.83
CT-003,Hartford County,Connecticut,70.68,24.14,129,46.54
CT-005,Litchfield County,Connecticut,68.22,19.99,129,48.23
CT-007,Middlesex County,Connecticut,67.66,20.86,128,46.8
CT-009,New Haven County,Connecticut,67.83,20.28,128,47.55
CT-011,New London County,Connecticut,61.29,15.6,126,45.69
CT-013,Tolland County,Connecticut,66.03,20.38,129,45.65
CT-015,Windham County,Connecticut,64.34,18.59,128,45.75
DE-001,Kent County,Delaware,49.43,6.36,102,43.07
DE-003,New Castle County,Delaware,50.78,7.59,104,43.19
DE-005,Sussex County,Delaware,50.55,6.92,106,43.63
FL-001,Alachua County,Florida,58.05,5.47,100,52.58
FL-003,Baker County,Florida,54.33,2.8,90,51.53
FL-005,Bay County,Florida,63.58,5.09,92,58.49
FL-007,Bradford County,Florida,56.64,4.36,94,52.28
FL-009,Brevard County,Florida,49.81,-0.64,65,50.45
FL-011,Broward County,Florida,67.53,10.5,108,57.03
FL-013,Calhoun County,Florida,64.99,6.9,100,58.09
FL-015,Charlotte County,Florida,56.09,5.26,91,50.83
FL-017,Citrus County,Florida,55.35,2.05,74,53.3
FL-019,Clay County,Florida,57.3,5.44,97,51.86
FL-021,Collier County,Florida,57.33,5.25,93,52.08
FL-023,Columbia County,Florida,58.44,6.91,104,51.53
FL-027,DeSoto County,Florida,55,3.67,82,51.33
FL-029,Dixie County,Florida,59.74,6.06,93,53.68
FL-031,Duval County,Florida,57.93,7.71,110,50.22
FL-033,Escambia County,Florida,49.48,-12.74,14,62.22
FL-035,Flagler County,Florida,50.96,-0.88,60,51.84
FL-037,Franklin County,Florida,67.25,9.02,109,58.23
FL-039,Gadsden County,Florida,63.33,6.76,102,56.57
FL-041,Gilchrist County,Florida,59.54,6.78,100,52.76
FL-043,Glades County,Florida,47.29,-2.95,46,50.24
FL-045,Gulf County,Florida,68.49,10.02,111,58.47
FL-047,Hamilton County,Florida,64.14,12.31,119,51.83
FL-049,Hardee County,Florida,54.36,1.91,78,52.45
FL-051,Hendry County,Florida,50.03,-1.79,61,51.82
FL-053,Hernando County,Florida,54.34,0.85,71,53.49
FL-055,Highlands County,Florida,49.85,-0.59,61,50.44
FL-057,Hillsborough County,Florida,53.02,0.73,67,52.29
FL-059,Holmes County,Florida,59.67,2.02,71,57.65
FL-061,Indian River County,Florida,46.36,-6.11,35,52.47
FL-063,Jackson County,Florida,59.56,4.89,96,54.67
FL-065,Jefferson County,Florida,63.86,8.81,110,55.05
FL-067,Lafayette County,Florida,65.02,10.65,112,54.37
FL-069,Lake County,Florida,51.92,1.05,75,50.87
FL-071,Lee County,Florida,58.58,8.57,106,50.01
FL-073,Leon County,Florida,65.41,8.18,108,57.23
FL-075,Levy County,Florida,55.09,2.16,82,52.93
FL-077,Liberty County,Florida,67.82,9.01,109,58.81
FL-079,Madison County,Florida,64.49,10.93,116,53.56
FL-081,Manatee County,Florida,56.8,4.28,87,52.52
FL-083,Marion County,Florida,53.35,0.66,67,52.69
FL-085,Martin County,Florida,53.97,-0.11,66,54.08
FL-086,Miami-Dade County,Florida,68.3,13.17,119,55.13
FL-087,Monroe County,Florida,62.94,12.1,118,50.84
FL-089,Nassau County,Florida,59.31,8.73,111,50.58
FL-091,Okaloosa County,Florida,54.42,-6.24,37,60.66
FL-093,Okeechobee County,Florida,48.65,-2.13,55,50.78
FL-095,Orange County,Florida,50.71,0.35,74,50.36
FL-097,Osceola County,Florida,46.58,-3.77,45,50.35
FL-099,Palm Beach County,Florida,55.41,-1.47,61,56.88
FL-101,Pasco County,Florida,50.93,-2.07,53,53
FL-103,Pinellas County,Florida,49.18,-2.34,56,51.52
FL-105,Polk County,Florida,49.3,-2.43,48,51.73
FL-107,Putnam County,Florida,56.79,3.64,87,53.15
FL-109,St. Johns County,Florida,55.87,4.89,86,50.98
FL-111,St. Lucie County,Florida,53.79,1.01,74,52.78
FL-113,Santa Rosa County,Florida,50.9,-11.11,24,62.01
FL-115,Sarasota County,Florida,58.8,6.73,101,52.07
FL-117,Seminole County,Florida,53.22,2.72,82,50.5
FL-119,Sumter County,Florida,52.4,0.08,61,52.32
FL-121,Suwannee County,Florida,66.1,12.96,120,53.14
FL-123,Taylor County,Florida,63.8,8.26,103,55.54
FL-125,Union County,Florida,55.92,4.18,95,51.74
FL-127,Volusia County,Florida,53.43,2.54,82,50.89
FL-129,Wakulla County,Florida,67.15,8.98,109,58.17
FL-131,Walton County,Florida,58.69,-1.41,59,60.1
FL-133,Washington County,Florida,59.66,2.34,78,57.32
GA-001,Appling County,Georgia,57.33,9.39,116,47.94
GA-003,Atkinson County,Georgia,59.2,10.46,117,48.74
GA-005,Bacon County,Georgia,58.84,10.65,120,48.19
GA-007,Baker County,Georgia,54.63,2.95,85,51.68
GA-009,Baldwin County,Georgia,50.13,3.81,90,46.32
GA-011,Banks County,Georgia,48.21,-4.62,46,52.83
GA-013,Barrow County,Georgia,49.13,-1.41,55,50.54
GA-015,Bartow County,Georgia,39.43,-11.74,11,51.17
GA-017,Ben Hill County,Georgia,51.83,4.32,94,47.51
GA-019,Berrien County,Georgia,56.44,8.05,109,48.39
GA-021,Bibb County,Georgia,47.45,1.14,72,46.31
GA-023,Bleckley County,Georgia,47.04,0.17,69,46.87
GA-025,Brantley County,Georgia,61.78,11.9,120,49.88
GA-027,Brooks County,Georgia,58.8,6.92,108,51.88
GA-029,Bryan County,Georgia,54.39,5.48,101,48.91
GA-031,Bulloch County,Georgia,57.34,9.85,117,47.49
GA-033,Burke County,Georgia,49.57,4.18,100,45.39
GA-035,Butts County,Georgia,53.95,4.75,96,49.2
GA-037,Calhoun County,Georgia,54.23,2.37,84,51.86
GA-039,Camden County,Georgia,60.39,9.5,115,50.89
GA-043,Candler County,Georgia,58.28,11.37,119,46.91
GA-045,Carroll County,Georgia,46.8,-6.6,33,53.4
GA-047,Catoosa County,Georgia,40.33,-12.61,12,52.94
GA-049,Charlton County,Georgia,58.15,7.91,108,50.24
GA-051,Chatham County,Georgia,53.19,4.2,101,48.99
GA-053,Chattahoochee County,Georgia,50.84,2.22,80,48.62
GA-055,Chattooga County,Georgia,46.65,-8.15,22,54.8
GA-057,Cherokee County,Georgia,42.88,-10.59,13,53.47
GA-059,Clarke County,Georgia,49.28,-0.51,62,49.79
GA-061,Clay County,Georgia,50.48,-1.68,56,52.16
GA-063,Clayton County,Georgia,51.49,1.54,73,49.95
GA-065,Clinch County,Georgia,60.07,10.27,117,49.8
GA-067,Cobb County,Georgia,40.9,-10.17,20,51.07
GA-069,Coffee County,Georgia,56.15,7.98,115,48.17
GA-071,Colquitt County,Georgia,56.51,6.36,107,50.15
GA-073,Columbia County,Georgia,44.37,-1.56,62,45.93
GA-075,Cook County,Georgia,56.31,7.07,109,49.24
GA-077,Coweta County,Georgia,46.49,-4.68,37,51.17
GA-079,Crawford County,Georgia,47.96,-0.04,69,48
GA-081,Crisp County,Georgia,53.59,6.62,98,46.97
GA-083,Dade County,Georgia,43.43,-10.69,16,54.12
GA-085,Dawson County,Georgia,53.54,-5.71,39,59.25
GA-087,Decatur County,Georgia,56.92,3.35,88,53.57
GA-089,DeKalb County,Georgia,47.22,-3.16,50,50.38
GA-091,Dodge County,Georgia,48.46,1.08,77,47.38
GA-093,Dooly County,Georgia,51.44,4.31,94,47.13
GA-095,Dougherty County,Georgia,55.52,6.15,98,49.37
GA-097,Douglas County,Georgia,44.93,-6.89,33,51.82
GA-099,Early County,Georgia,52.51,-0.51,63,53.02
GA-101,Echols County,Georgia,62.62,11.73,118,50.89
GA-103,Effingham County,Georgia,55.82,7.63,113,48.19
GA-105,Elbert County,Georgia,44.95,-3.39,47,48.34
GA-107,Emanuel County,Georgia,56.07,9.76,114,46.31
GA-109,Evans County,Georgia,55.67,8.2,110,47.47
GA-111,Fannin County,Georgia,53.55,-6.42,31,59.97
GA-113,Fayette County,Georgia,49.22,-0.76,55,49.98
GA-115,Floyd County,Georgia,44.91,-7.14,26,52.05
GA-117,Forsyth County,Georgia,47.95,-5.51,40,53.46
GA-119,Franklin County,Georgia,44.36,-5.88,39,50.24
GA-121,Fulton County,Georgia,45.78,-5.04,40,50.82
GA-123,Gilmer County,Georgia,54.72,-6.74,31,61.46
GA-125,Glascock County,Georgia,48.75,2.01,82,46.74
GA-127,Glynn County,Georgia,57.93,7.21,110,50.72
GA-129,Gordon County,Georgia,45.09,-7.66,25,52.75
GA-131,Grady County,Georgia,58,4.22,91,53.78
GA-133,Greene County,Georgia,50.63,2.78,88,47.85
GA-135,Gwinnett County,Georgia,46.11,-5.03,45,51.14
GA-137,Habersham County,Georgia,55.33,-8.22,32,63.55
GA-139,Hall County,Georgia,52.3,-2.26,53,54.56
GA-141,Hancock County,Georgia,50.2,3.14,91,47.06
GA-143,Haralson County,Georgia,45.97,-7.17,29,53.14
GA-145,Harris County,Georgia,52.96,1.66,72,51.3
GA-147,Hart County,Georgia,44.19,-4.88,41,49.07
GA-149,Heard County,Georgia,47.91,-4.97,39,52.88
GA-151,Henry County,Georgia,52.49,2.66,79,49.83
GA-153,Houston County,Georgia,47.85,0.84,69,47.01
GA-155,Irwin County,Georgia,53.35,5.79,103,47.56
GA-157,Jackson County,Georgia,48.68,-1.79,53,50.47
GA-159,Jasper County,Georgia,55.71,6.87,105,48.84
GA-161,Jeff Davis County,Georgia,56.12,8.79,115,47.33
GA-163,Jefferson County,Georgia,49.56,3.45,93,46.11
GA-165,Jenkins County,Georgia,54.38,8.19,111,46.19
GA-167,Johnson County,Georgia,51.34,5.08,101,46.26
GA-169,Jones County,Georgia,50.82,3.91,94,46.91
GA-171,Lamar County,Georgia,51.62,1.85,76,49.77
GA-173,Lanier County,Georgia,60.81,11.25,117,49.56
GA-175,Laurens County,Georgia,50.2,3.59,94,46.61
GA-177,Lee County,Georgia,54.93,6.3,99,48.63
GA-179,Liberty County,Georgia,54.15,4.99,100,49.16
GA-181,Lincoln County,Georgia,47.51,0.48,73,47.03
GA-183,Long County,Georgia,54.58,5.65,102,48.93
GA-185,Lowndes County,Georgia,61.48,10.68,116,50.8
GA-187,Lumpkin County,Georgia,59.57,-2.97,53,62.54
GA-189,McDuffie County,Georgia,47.14,0.3,76,46.84
GA-191,McIntosh County,Georgia,56.08,5.85,103,50.23
GA-193,Macon County,Georgia,50.81,2.76,87,48.05
GA-195,Madison County,Georgia,46.71,-2.86,49,49.57
GA-197,Marion County,Georgia,53.5,4.08,89,49.42
GA-199,Meriwether County,Georgia,48.15,-2.88,43,51.03
GA-201,Miller County,Georgia,54.36,1.17,74,53.19
GA-205,Mitchell County,Georgia,55.15,4.45,93,50.7
GA-207,Monroe County,Georgia,50.72,2.35,79,48.37
GA-209,Montgomery County,Georgia,58.01,11.58,119,46.43
GA-211,Morgan County,Georgia,54.55,5.59,96,48.96
GA-213,Murray County,Georgia,53.08,-3.11,46,56.19
